,property_type,room_type,accommodates,bathrooms,bed_type,cancellation_policy,cleaning_fee,city,host_identity_verified,host_since,instant_bookable,review_scores_rating,zipcode,bedrooms,beds,price
54511,0,0,8,2,4,2,1,0,1,16115,1,100,2108,4,4,259.0
20313,0,0,4,1,4,2,1,0,0,15786,1,89,2108,1,2,89.0
68172,0,0,2,1,4,0,1,0,0,16347,1,87,2108,1,1,225.0
62506,0,0,3,1,4,2,1,0,1,15554,1,87,2108,1,1,185.0
56709,0,0,2,1,4,1,0,0,1,16279,0,91,2108,1,1,199.0
4457,10,0,4,1,4,2,1,0,1,15614,1,97,2108,2,2,295.0
3342,0,0,2,1,4,2,0,0,1,16315,0,89,2108,0,1,259.0
9868,0,0,6,1,4,2,1,0,0,16308,0,94,2108,2,3,291.0
56656,10,0,2,1,4,2,1,0,1,14682,1,93,2108,0,1,175.0
54883,0,0,2,1,4,2,1,0,1,16487,0,94,2108,1,1,160.0
52213,0,0,2,1,4,1,1,0,1,16422,1,91,2108,0,1,145.0
64342,0,0,4,1,4,2,1,0,1,16294,0,98,2108,1,1,249.0
9547,0,0,6,1,4,2,1,0,0,15786,1,90,2108,2,4,129.0
38755,0,0,2,1,4,1,1,0,0,17364,0,100,2108,1,1,200.0
48654,0,0,2,1,4,2,0,0,1,16066,0,96,2108,0,1,165.0
8131,10,0,3,1,4,2,1,0,0,14447,0,93,2108,1,1,175.0
31750,0,0,2,1,4,2,1,0,1,15554,1,92,2108,1,1,180.0
9881,0,1,2,1,4,2,1,0,0,16487,0,100,2108,1,1,200.0
71921,0,0,2,1,4,1,0,0,1,16315,0,94,2108,0,1,259.0
52195,0,0,8,3,4,1,1,0,0,15286,0,92,2108,4,4,350.0
46213,0,0,3,2,4,2,1,0,0,14447,0,80,2108,2,2,300.0
56231,0,0,2,1,4,1,1,0,1,16315,0,94,2108,1,1,289.0
56948,0,0,4,1,4,2,1,0,1,16497,0,95,2108,1,1,129.0
716,0,0,2,1,4,1,0,0,1,16315,0,93,2108,1,1,289.0
4841,0,0,3,1,4,2,1,0,1,15554,1,92,2108,1,1,180.0
40065,0,1,2,1,4,0,0,0,1,15966,0,90,2108,1,1,130.0
