,host_since,host_identity_verified,property_type,room_type,accommodates,bathrooms,bed_type,cancellation_policy,cleaning_fee,city,beds,instant_bookable,review_scores_rating,zipcode,bedrooms
0,16115,1,0,0,8,2,4,2,1,0,4,1,100,2108,4
1,15786,0,0,0,4,1,4,2,1,0,2,1,89,2108,1
2,16347,0,0,0,2,1,4,0,1,0,1,1,87,2108,1
3,15554,1,0,0,3,1,4,2,1,0,1,1,87,2108,1
4,16279,1,0,0,2,1,4,1,0,0,1,0,91,2108,1
5,15614,1,10,0,4,1,4,2,1,0,2,1,97,2108,2
6,16315,1,0,0,2,1,4,2,0,0,1,0,89,2108,0
7,16308,0,0,0,6,1,4,2,1,0,3,0,94,2108,2
8,14682,1,10,0,2,1,4,2,1,0,1,1,93,2108,0
9,16487,1,0,0,2,1,4,2,1,0,1,0,94,2108,1
10,16422,1,0,0,2,1,4,1,1,0,1,1,91,2108,0
11,16294,1,0,0,4,1,4,2,1,0,1,0,98,2108,1
12,15786,0,0,0,6,1,4,2,1,0,4,1,90,2108,2
13,17364,0,0,0,2,1,4,1,1,0,1,0,100,2108,1
14,16066,1,0,0,2,1,4,2,0,0,1,0,96,2108,0
15,14447,0,10,0,3,1,4,2,1,0,1,0,93,2108,1
16,15554,1,0,0,2,1,4,2,1,0,1,1,92,2108,1
17,16487,0,0,1,2,1,4,2,1,0,1,0,100,2108,1
18,16315,1,0,0,2,1,4,1,0,0,1,0,94,2108,0
19,15286,0,0,0,8,3,4,1,1,0,4,0,92,2108,4
20,14447,0,0,0,3,2,4,2,1,0,2,0,80,2108,2
21,16315,1,0,0,2,1,4,1,1,0,1,0,94,2108,1
22,16497,1,0,0,4,1,4,2,1,0,1,0,95,2108,1
23,16315,1,0,0,2,1,4,1,0,0,1,0,93,2108,1
24,15554,1,0,0,3,1,4,2,1,0,1,1,92,2108,1
25,15966,1,0,1,2,1,4,0,0,0,1,0,90,2108,1
26,16369,1,0,0,4,1,4,1,1,0,1,0,100,2108,1
27,16974,1,0,1,2,1,4,2,1,0,1,0,93,2108,1
28,16487,1,0,0,2,1,4,2,1,0,1,0,97,2108,0
29,16548,0,0,0,4,1,4,2,1,0,2,0,95,2108,2
30,16974,1,0,1,2,1,0,2,1,0,1,0,97,2108,1
31,16115,1,0,0,4,1,4,2,1,0,1,1,20,2108,2
32,16422,1,25,0,6,2,4,1,1,0,4,1,96,2108,3
33,16115,1,0,0,6,2,4,2,1,0,3,1,88,2108,3
34,16747,0,0,0,2,1,4,2,0,0,1,1,96,2108,1
35,16115,1,0,0,4,1,4,2,1,0,2,1,90,2108,2
36,16115,1,0,0,6,2,4,2,1,0,3,1,60,2108,3
37,16776,1,25,0,6,1,2,2,1,0,3,1,97,2108,2
38,16023,0,1,1,2,1,4,1,0,0,1,0,91,2108,1
39,16974,1,0,0,4,2,4,2,1,0,1,0,100,2108,2
40,16869,1,0,0,2,1,4,1,1,0,1,0,95,2108,1
41,17071,0,0,0,3,1,4,2,1,0,1,1,90,2108,1
42,16115,1,0,0,6,2,4,2,1,0,1,1,93,2108,3
43,16747,0,0,0,2,1,4,2,0,0,1,1,93,2108,0
44,16422,1,0,0,2,1,4,1,1,0,1,1,96,2108,1
45,16487,1,0,0,2,1,4,2,1,0,1,0,98,2108,1
46,15554,1,0,0,5,2,4,2,1,0,4,1,96,2108,2
47,14447,0,10,0,3,1,4,2,1,0,1,0,95,2108,1
48,16315,1,0,0,2,1,4,1,1,0,1,0,92,2108,1
49,14447,0,10,0,2,1,4,2,1,0,1,0,100,2108,1
50,16467,1,0,0,2,1,4,2,1,0,2,0,97,2108,1
51,14447,0,10,0,2,1,4,2,1,0,1,0,94,2108,1
52,14447,0,0,0,3,1,4,2,1,0,1,0,89,2108,1
53,15472,1,0,0,3,1,4,2,1,0,1,1,100,2108,0
54,16422,1,0,0,2,1,4,0,1,0,1,1,94,2108,1
55,16115,1,0,0,4,1,4,2,1,0,2,1,93,2108,2
56,16422,1,0,0,4,1,4,0,1,0,2,1,87,2108,2
57,16662,1,0,0,3,1,4,2,1,0,1,1,98,2108,1
58,16511,0,0,0,2,1,4,2,0,0,1,0,95,2108,1
59,16356,1,0,0,2,1,4,0,0,0,1,1,100,2108,0
60,16487,0,16,0,7,2,4,2,1,0,4,1,91,2108,4
61,17036,0,0,0,2,1,4,2,1,0,1,1,100,2108,1
62,16422,1,0,0,2,1,4,1,1,0,1,1,92,2108,1
63,16115,1,0,0,4,1,4,2,1,0,2,1,100,2108,2
64,16422,1,0,0,4,1,4,1,1,0,2,1,95,2108,2
65,16422,1,0,0,2,1,4,0,1,0,1,1,90,2108,0
66,16115,1,0,0,6,2,4,2,1,0,3,1,100,2108,3
67,14920,1,0,0,4,2,4,1,1,0,1,0,100,2108,1
68,17115,0,0,0,8,2,4,2,1,0,4,1,93,2109,2
69,17201,1,0,0,2,1,4,2,1,0,1,0,97,2109,0
70,16932,0,0,0,4,1,4,2,1,0,2,0,94,2109,2
71,16034,1,10,0,2,1,4,2,1,0,2,0,100,2109,1
72,16548,0,0,0,4,1,4,2,1,0,2,0,94,2109,2
73,16951,0,0,0,6,2,4,2,1,0,3,0,97,2109,2
